Nombre_CL,sciName,speciesCode,comName_en
Carancho cordillerano,Daptrius megalopterus,moucar1,Mountain Caracara
Chirihue dorado,Sicalis auriventris,gryfin2,Greater Yellow-Finch
Mero de Tarapacá,Agriornis micropterus,gybsht1,Gray-bellied Shrike-Tyrant
Golondrina barranquera,Riparia riparia,banswa,Bank Swallow
Parina chica,Phoenicoparrus jamesi,jamfla1,James's Flamingo
Cazamoscas de pico chato,Myiophobus rufescens,brcfly3,Rufescent Flycatcher
Negrillo,Volatinia jacarina,blbgra1,Blue-black Grassquit
Bandurrilla de pico recto,Ochetorhynchus ruficaudus,stbear2,Straight-billed Earthcreeper
Petrel de Westland,Procellaria westlandica,wespet1,Westland Petrel
Dormilona fraile,Muscisaxicola flavinucha,ongtyr1,Ochre-naped Ground-Tyrant
Tortolita de la puna,Metriopelia aymara,gsgdov1,Golden-spotted Ground Dove
Chirihue puneño,Sicalis lutea,puyfin1,Puna Yellow-Finch
Tenca patagónica,Mimus patagonicus,patmoc1,Patagonian Mockingbird
Batitú,Bartramia longicauda,uplsan,Upland Sandpiper
Playero manchado,Actitis macularius,sposan,Spotted Sandpiper
Perdiz copetona,Eudromia elegans,elctin1,Elegant Crested-Tinamou
Perdicita austral,Attagis malouinus,whbsee2,White-bellied Seedsnipe
Yal austral,Melanodera melanodera,cawfin1,White-bridled Finch
Chirihue austral,Sicalis lebruni,payfin1,Patagonian Yellow-Finch
Perdiz de la puna,Tinamotis pentlandii,puntin1,Puna Tinamou
Becacina de la puna,Gallinago andina,punsni1,Puna Snipe
Mero de la puna,Agriornis albicauda,wtstyr1,White-tailed Shrike-Tyrant
Dormilona de ceja blanca,Muscisaxicola albilora,wbgtyr1,White-browed Ground-Tyrant
Canastero de cola larga,Asthenes pyrrholeuca,shbcan2,Sharp-billed Canastero
Pidencito,Laterallus jamaicensis,blkrai,Black Rail
Tagua cornuda,Fulica cornuta,horcoo1,Horned Coot
Run-run,Hymenops perspicillatus,spetyr1,Spectacled Tyrant
Variegated Flycatcher,Empidonomus varius,varfly,Variegated Flycatcher
Suirirí real,Tyrannus melancholicus,trokin,Tropical Kingbird
Gaviota de las Galápagos,Creagrus furcatus,swtgul1,Swallow-tailed Gull
Petrel de Masatierra,Pterodroma defilippiana,maspet3,Masatierra Petrel
Golondrina de mar de vientre blanco,Fregetta grallaria,wbspet1,White-bellied Storm-Petrel
Petrel de Juan Fernández,Pterodroma externa,jufpet,Juan Fernandez Petrel
Piquero blanco,Sula dactylatra,masboo,Masked Booby
Fardela de dorso gris,Ardenna bulleri,bulshe,Buller's Shearwater
Ave fragata grande,Fregata minor,grefri,Great Frigatebird
Yunco de Humboldt,Pelecanoides garnotii,pedpet1,Peruvian Diving-Petrel
Dormilona rufa,Muscisaxicola capistratus,cibgrt1,Cinnamon-bellied Ground-Tyrant
Playero ártico,Calidris canutus,redkno,Red Knot
Becacina pintada,Nycticryphes semicollaris,soapas1,South American Painted-Snipe
Carancho negro,Daptrius australis,strcar1,Striated Caracara
Fardela capirotada,Ardenna gravis,greshe,Great Shearwater
Petrel de Masafuera,Pterodroma longirostris,stepet,Stejneger's Petrel
Dormilona cenicienta,Muscisaxicola cinereus,cingrt1,Cinereous Ground-Tyrant
Ave del trópico de cola roja,Phaethon rubricauda,rettro,Red-tailed Tropicbird
Perdicita cordillerana,Attagis gayi,rubsee2,Rufous-bellied Seedsnipe
Cometocino de dorso castaño,Idiopsar dorsalis,rbsfin1,Red-backed Sierra Finch
Petrel damero,Daption capense,cappet,Pintado Petrel
Dormilona de frente negra,Muscisaxicola frontalis,bfgtyr1,Black-fronted Ground-Tyrant
Bandurria de la puna,Theristicus branickii,bkfibi2,Andean Ibis
Chorlito cordillerano,Phegornis mitchellii,diaplo1,Diademed Sandpiper-Plover
Picaflor de Juan Fernández,Sephanoides fernandensis,juffir1,Juan Fernandez Firecrown
Cachudito de Juan Fernández,Anairetes fernandezianus,jfttyr1,Juan Fernandez Tit-Tyrant
Gaviotín de San Félix,Anous stolidus,brnnod,Brown Noddy
Gaviotín de San Ambrosio,Anous albivitta,grynod1,Gray Noddy
Petrel de Kermadec,Pterodroma neglecta,kerpet,Kermadec Petrel
Fardela de Pascua,Puffinus nativitatis,chrshe,Christmas Shearwater
Albatros errante,Diomedea exulans,wanalb1,Snowy Albatross
Albatros de cabeza gris,Thalassarche chrysostoma,gyhalb,Gray-headed Albatross
Petrel azulado,Halobaena caerulea,blupet1,Blue Petrel
Minero grande,Geositta isabellina,crrmin1,Creamy-rumped Miner
Pingüino papúa,Pygoscelis papua,genpen1,Gentoo Penguin
Paloma antártica,Chionis albus,snoshe2,Snowy Sheathbill
Albatros real del sur,Diomedea epomophora,royalb2,Southern Royal Albatross
Yunco de los canales,Pelecanoides urinatrix,codpet1,Common Diving-Petrel
Albatros de Buller,Thalassarche bulleri,bulalb2,Buller's Albatross
Gaviota de capucho gris,Chroicocephalus cirrocephalus,grhgul,Gray-hooded Gull
Gaviotín de pico grande,Phaetusa simplex,labter1,Large-billed Tern
Albatros de manto claro,Phoebetria palpebrata,limalb1,Light-mantled Albatross
Gaviotín boreal,Sterna hirundo,comter,Common Tern
Golondrina de mar chica,Oceanites gracilis,wvspet1,Elliot's Storm-Petrel
Golondrina de mar de collar,Hydrobates hornbyi,rispet1,Ringed Storm-Petrel
Piquero de Cocos,Sula brewsteri,cocboo1,Cocos Booby
Golondrina de mar de vientre negro,Fregetta tropica,bbspet1,Black-bellied Storm-Petrel
Petrel Atlántico,Pterodroma incerta,atlpet1,Atlantic Petrel
Gaviotín blanco,Gygis candida,whiter4,Blue-billed White-Tern
Pidén austral,Rallus antarcticus,ausrai1,Austral Rail
Petrel-paloma antártico,Pachyptila desolata,dovpri1,Antarctic Prion
Petrel-paloma de pico delgado,Pachyptila belcheri,slbpri1,Slender-billed Prion
Cazamoscas chocolate,Neoxolmis rufiventris,chvtyr2,Chocolate-vented Tyrant
Golondrina de mar peruana,Hydrobates tethys,wrspet,Wedge-rumped Storm-Petrel
Golondrina de mar de cara blanca,Pelagodroma marina,wfspet,White-faced Storm-Petrel
Piquero de patas rojas,Sula sula,refboo,Red-footed Booby
Petrel de Kerguelen,Aphrodroma brevirostris,kerpet2,Kerguelen Petrel
Ave del trópico de pico rojo,Phaethon aethereus,rebtro,Red-billed Tropicbird
Albatros de Chatham,Thalassarche eremita,shyalb2,Chatham Albatross
Pollito de mar rojizo,Phalaropus fulicarius,redpha1,Red Phalarope
Ave del trópico de cola blanca,Phaethon lepturus,whttro,White-tailed Tropicbird
Pingüino de penacho amarillo,Eudyptes chrysocome,rocpen2,Western Rockhopper Penguin
Cazamoscas tijereta,Tyrannus savana,fotfly,Fork-tailed Flycatcher
Pájaro amarillo,Pseudocolopteryx citreola,ticdor1,Ticking Doradito
Fardela chica,Puffinus elegans,litshe4,Subantarctic Shearwater
Churrete austral,Cinclodes antarcticus,blacin1,Blackish Cinclodes
Albatros de las Antípodas/de Gibson,Diomedea antipodensis,antalb1,Antipodean Albatross
Bailarín chico peruano,Anthus peruvianus,yelpip3,Peruvian Pipit
Gaviota reidora,Leucophaeus atricilla,laugul,Laughing Gull
Patagón,Ochetorhynchus phoenicurus,batear1,Band-tailed Earthcreeper
Fardela atlántica,Puffinus puffinus,manshe,Manx Shearwater
Piranga roja,Piranga rubra,sumtan,Summer Tanager
Carpintero real,Colaptes melanochloros,grbwoo3,Green-barred Woodpecker
Jilguero grande,Spinus crassirostris,thbsis1,Thick-billed Siskin
Playero occidental,Calidris mauri,wessan,Western Sandpiper
Zorzalito de Swainson,Catharus ustulatus,swathr,Swainson's Thrush
Gaviotín de Sandwich,Thalasseus sandvicensis,santer1,Sandwich Tern
Pingüino macaroni,Eudyptes chrysolophus,macpen1,Macaroni Penguin
Salteador de cola larga,Stercorarius longicaudus,lotjae,Long-tailed Jaeger
Salteador pardo,Stercorarius antarcticus,brnsku3,Brown Skua
Bailarín chico pálido,Anthus hellmayri,helpip1,Hellmayr's Pipit
Gaviotín chico,Sternula lorata,perter2,Peruvian Tern
Gaviotín apizarrado,Onychoprion fuscatus,sooter1,Sooty Tern
Vencejo de collar,Streptoprocne zonaris,whcswi,White-collared Swift
Perdiz austral,Tinamotis ingoufi,pattin1,Patagonian Tinamou
Becacina grande,Gallinago stricklandii,fuesni1,Fuegian Snipe
Golondrina negra,Progne elegans,soumar,Southern Martin
Salteador polar,Stercorarius maccormicki,sopsku1,South Polar Skua
Tuquito gris,Empidonomus aurantioatrocristatus,croslf1,Crowned Slaty Flycatcher
Rayadito de Masafuera,Aphrastura masafuerae,masray1,Masafuera Rayadito
Petrel de Cook,Pterodroma cookii,coopet,Cook's Petrel
Vencejo de chimenea,Chaetura pelagica,chiswi,Chimney Swift
King Vulture,Sarcoramphus papa,kinvul1,King Vulture
Pollito de mar boreal,Phalaropus lobatus,renpha,Red-necked Phalarope
Gaviotín ártico,Sterna paradisaea,arcter,Arctic Tern
Salteador pomarino,Stercorarius pomarinus,pomjae,Pomarine Jaeger
Petrel de Herald,Pterodroma heraldica,herpet2,Herald Petrel
Albatros oscuro,Phoebetria fusca,sooalb1,Sooty Albatross
Petrel de Murphy,Pterodroma ultima,murpet,Murphy's Petrel
Petrel de Henderson,Pterodroma atrata,henpet1,Henderson Petrel
Fardela del Pacífico,Ardenna pacifica,wetshe,Wedge-tailed Shearwater
Petrel de Fénix,Pterodroma alba,phopet1,Phoenix Petrel
Alder Flycatcher,Empidonax alnorum,aldfly,Alder Flycatcher
Chirihue de Raimondi,Sicalis raimondii,rayfin1,Raimondi's Yellow-Finch
Petrel de alas negras,Pterodroma nigripennis,bkwpet,Black-winged Petrel
Charlatán,Dolichonyx oryzivorus,boboli,Bobolink
Benteveo,Pitangus sulphuratus,grekis,Great Kiskadee
Golondrina parda,Progne tapera,brcmar1,Brown-chested Martin
Petrel antártico,Thalassoica antarctica,antpet1,Antarctic Petrel
Ruff,Calidris pugnax,ruff,Ruff
Loica argentina,Leistes superciliaris,whbbla2,White-browed Meadowlark
Northern Yellow Warbler,Setophaga aestiva,yelwar1,Northern Yellow Warbler
Yunco geórgico,Pelecanoides georgicus,sgdpet1,South Georgia Diving-Petrel
Birro gris,Cnemarchus rufipennis,rwbtyr1,Rufous-webbed Bush-Tyrant
Cuclillo de pico negro,Coccyzus melacoryphus,dabcuc1,Dark-billed Cuckoo
Petrel de las nieves,Pagodroma nivea,snopet1,Snow Petrel
Large Elaenia,Elaenia spectabilis,larela1,Large Elaenia
Paloma picazuró,Patagioenas picazuro,picpig2,Picazuro Pigeon
Albatros de frente blanca,Thalassarche cauta,whcalb1,White-capped Albatross
Becacina chica,Limnodromus griseus,shbdow,Short-billed Dowitcher
Estornino pinto,Sturnus vulgaris,eursta,European Starling
Gaviotín negro,Chlidonias niger,blkter,Black Tern
Surf Cinclodes,Cinclodes taczanowskii,surcin1,Surf Cinclodes
Garza tricolor,Egretta tricolor,triher,Tricolored Heron
Gaviota de Sabine,Xema sabini,sabgul,Sabine's Gull
Piquero de Nazca,Sula granti,nazboo1,Nazca Booby
Zorzal chalchalero,Turdus amaurochalinus,crbthr1,Creamy-bellied Thrush
Pitiayumí,Setophaga pitiayumi,tropar,Tropical Parula
Picaflor cometa,Sappho sparganurus,retcom1,Red-tailed Comet
Celestino,Thraupis sayaca,saytan1,Sayaca Tanager
Pato silbón de ala blanca,Dendrocygna autumnalis,bbwduc,Black-bellied Whistling-Duck
Tagüita purpúrea,Porphyrio martinica,purgal2,Purple Gallinule
Albatros de las Galápagos,Phoebastria irrorata,wavalb,Waved Albatross
Corbatita de doble collar,Sporophila caerulescens,docsee1,Double-collared Seedeater
Pibí occidental,Contopus sordidulus,wewpew,Western Wood-Pewee
Pingüino de Snares,Eudyptes robustus,snapen1,Snares Penguin
Cortarramas,Phytotoma rutila,whtpla1,White-tipped Plantcutter
Birro común,Hirundinea ferruginea,clifly1,Cliff Flycatcher
Garcita azulada,Butorides striata,strher2,Striated Heron
Golondrina de mar subantártica,Garrodia nereis,gybstp1,Gray-backed Storm-Petrel
Petrel gris,Procellaria cinerea,grapet,Gray Petrel
Verderón de ojos rojos,Vireo olivaceus,reevir1,Red-eyed Vireo
Zarapito moteado,Limosa fedoa,margod,Marbled Godwit
Golondrina de cabeza rojiza,Alopochelidon fucata,tahswa2,Tawny-headed Swallow
Huairavo de corona amarilla,Nyctanassa violacea,ycnher,Yellow-crowned Night Heron
Petrel de alas grandes,Pterodroma macroptera,grwpet3,Great-winged Petrel
Ave fragata magnífica,Fregata magnificens,magfri,Magnificent Frigatebird
Zarapito de cola barrada,Limosa lapponica,batgod,Bar-tailed Godwit
Pingüino azul,Eudyptula minor,litpen1,Little Penguin
White-rumped Swallow,Tachycineta leucorrhoa,whrswa1,White-rumped Swallow
Benteveo de vientre azufre,Myiodynastes luteiventris,subfly,Sulphur-bellied Flycatcher
Pato de alas azules,Spatula discors,buwtea,Blue-winged Teal
Espátula,Platalea ajaja,rosspo1,Roseate Spoonbill
Guácharo,Steatornis caripensis,oilbir1,Oilbird
Golondrina de mar oscura,Hydrobates melania,bkspet,Black Storm-Petrel
Pillo,Ciconia maguari,magsto1,Maguari Stork
Gaviotín real,Thalasseus maximus,royter1,Royal Tern
Playero gris,Tringa incana,wantat1,Wandering Tattler
Pingüino antártico,Pygoscelis antarcticus,chipen2,Chinstrap Penguin
Golondrina de mar polinésica,Nesofregetta fuliginosa,pospet1,Polynesian Storm-Petrel
Petrel de frente blanca,Pterodroma lessonii,whhpet1,White-headed Petrel
Tenca castaña,Mimus dorsalis,brbmoc1,Brown-backed Mockingbird
Gallina ciega tijereta,Hydropsalis torquata,sctnig2,Scissor-tailed Nightjar
Pintaguá,Megarynchus pitangua,bobfly1,Boat-billed Flycatcher
Ave fragata chica,Fregata ariel,lesfri,Lesser Frigatebird
Candelita americana,Setophaga ruticilla,amered,American Redstart
Petrel de las Galápagos,Pterodroma phaeopygia,galpet,Galapagos Petrel
Reinita estriada,Setophaga striata,bkpwar,Blackpoll Warbler
Golondrina de mar boreal,Hydrobates leucorhous,lcspet,Leach's Storm-Petrel
Pitotoy solitario,Tringa solitaria,solsan,Solitary Sandpiper
Milano tijereta,Elanoides forficatus,swtkit,Swallow-tailed Kite
Milano boreal,Ictinia mississippiensis,miskit,Mississippi Kite
Lavandera blanca,Motacilla alba,whiwag,White Wagtail
Gallina ciega peruana,Chordeiles acutipennis,lesnig,Lesser Nighthawk
Pingüino de Adelia,Pygoscelis adeliae,adepen1,Adelie Penguin
Birro grande,Myiotheretes striaticollis,stbtyr1,Streak-throated Bush-Tyrant
Pepitero,Saltator aurantiirostris,gobsal1,Golden-billed Saltator
Monjita coronada,Neoxolmis coronatus,bkcmon1,Black-crowned Monjita
Aguilucho de ala rojiza,Rupornis magnirostris,roahaw,Roadside Hawk
Arrocero americano,Spiza americana,dickci,Dickcissel
Gaviotín chico boreal,Sternula antillarum,leater1,Least Tern
Pingüino emperador,Aptenodytes forsteri,emppen1,Emperor Penguin
Petrel de cuello blanco,Pterodroma cervicalis,whnpet,White-necked Petrel
Pirincho,Guira guira,guicuc1,Guira Cuckoo
Águila negra,Buteogallus urubitinga,grbhaw1,Great Black Hawk
Cazamoscas de cola corta,Muscigralla brevicauda,stftyr1,Short-tailed Field Tyrant
Pato crestudo,Sarkidiornis sylvicola,comduc3,Comb Duck
Aguilucho langostero,Buteo swainsoni,swahaw,Swainson's Hawk
Jabirú,Jabiru mycteria,jabiru,Jabiru
Viudita negra,Knipolegus aterrimus,whwblt1,White-winged Black-Tyrant
Huairavillo de dorso negro,Botaurus exilis,leabit,Least Bittern
Cigüeña de cabeza pelada,Mycteria americana,woosto,Wood Stork
Bolsero de Baltimore,Icterus galbula,balori,Baltimore Oriole
Piranga de cara roja,Piranga ludoviciana,westan,Western Tanager
Petrel de cara gris,Pterodroma gouldi,grwpet2,Gray-faced Petrel
Picogrueso dorado,Pheucticus chrysogaster,gobgro1,Golden Grosbeak
Piquero de patas azules,Sula nebouxii,bfoboo,Blue-footed Booby
Golondrina doméstica,Progne chalybea,gybmar,Gray-breasted Martin
Picaflor de garganta blanca,Leucochloris albicollis,whthum2,White-throated Hummingbird
Pato cuchara boreal,Spatula clypeata,norsho,Northern Shoveler
Pimpollo tobiano,Podiceps gallardoi,hoogre1,Hooded Grebe
Chajá,Chauna torquata,souscr1,Southern Screamer
Pelícano pardo,Pelecanus occidentalis,brnpel,Brown Pelican
Gaviotín de corona blanca,Anous minutus,blknod,Black Noddy
Playero canela,Calidris subruficollis,bubsan,Buff-breasted Sandpiper
Ñacundá,Chordeiles nacunda,nacnig1,Nacunda Nighthawk
Jacana,Jacana jacana,watjac1,Wattled Jacana
Carau,Aramus guarauna,limpki,Limpkin
Monterita de collar,Microspingus torquatus,riwfin1,Ringed Warbling Finch
Matacaballos de pico liso,Crotophaga ani,smbani,Smooth-billed Ani
Tersina,Tersina viridis,swatan1,Swallow Tanager
Vireo chiví,Vireo chivi,chivir1,Chivi Vireo
Zarapito polinésico,Numenius tahitiensis,brtcur,Bristle-thighed Curlew
Chestnut-capped Blackbird,Chrysomus ruficapillus,chcbla2,Chestnut-capped Blackbird
Tenca calandria,Mimus saturninus,chbmoc1,Chalk-browed Mockingbird
Pato silbón pampa,Dendrocygna viduata,wfwduc1,White-faced Whistling-Duck
Turpial variable,Icterus pyrrhopterus,epaori4,Variable Oriole
Petrel-paloma de pico ancho,Pachyptila vittata,brbpri1,Broad-billed Prion
Cuclillo de pico amarillo,Coccyzus americanus,yebcuc,Yellow-billed Cuckoo
Chorlo de pico grueso,Anarhynchus wilsonia,wilplo,Wilson's Plover
Arañero cara negra,Geothlypis velata,masyel5,Southern Yellowthroat
Rey del bosque,Pheucticus aureoventris,blbgro2,Black-backed Grosbeak
Fío-fío verdoso,Myiopagis viridicata,greela,Greenish Elaenia
Burlisto castaño,Casiornis rufus,rufcas2,Rufous Casiornis
Petrel plateado boreal,Fulmarus glacialis,norful,Northern Fulmar
Picabuey,Machetornis rixosa,cattyr,Cattle Tyrant
Petrel de Parkinson,Procellaria parkinsoni,parpet1,Parkinson's Petrel
Mero chico,Agriornis murinus,lessht1,Lesser Shrike-Tyrant
Urutaú,Nyctibius griseus,compot1,Common Potoo
Pidén moteado,Pardirallus maculatus,sporai,Spotted Rail
Reinita de dorso verde,Setophaga virens,btnwar,Black-throated Green Warbler
Chorlo dorado del Pacífico,Pluvialis fulva,pagplo,Pacific Golden-Plover
Cazamoscas estriado,Myiophobus fasciatus,brcfly1,Bran-colored Flycatcher
Petrel moteado,Pterodroma inexpectata,motpet,Mottled Petrel
Picaflor de pico rojo,Chlorostilbon lucidus,glbeme1,Glittering-bellied Emerald
Gaviota de Bonaparte,Chroicocephalus philadelphia,bongul,Bonaparte's Gull
Monjita castaña,Neoxolmis rubetra,rubmon1,Rusty-backed Monjita
Gaviota argéntea americana,Larus smithsonianus,amhgul1,American Herring Gull
Fardela tropical,Puffinus bailloni,troshe5,Tropical Shearwater
Gaviotín pascuense,Onychoprion lunatus,gybter1,Gray-backed Tern
Cuervo de pantano de cara pelada,Phimosus infuscatus,bafibi1,Bare-faced Ibis
Reinita de garganta naranja,Setophaga fusca,bkbwar,Blackburnian Warbler
Garza chiflón,Syrigma sibilatrix,whiher1,Whistling Heron
Pato silbón colorado,Dendrocygna bicolor,fuwduc,Fulvous Whistling-Duck
Corbatita overo,Sporophila lineola,linsee1,Lined Seedeater
Tortolita rojiza,Columbina talpacoti,rugdov,Ruddy Ground Dove
Reinita de Canadá,Cardellina canadensis,canwar,Canada Warbler
Gallina ciega boreal,Chordeiles minor,comnig,Common Nighthawk
Vari huevetero,Circus buffoni,lowhar1,Long-winged Harrier
Reinita acuática,Parkesia noveboracensis,norwat,Northern Waterthrush
Reinita de Tennessee,Leiothlypis peregrina,tenwar,Tennessee Warbler
Zorzalito dorsirrojo,Catharus fuscescens,veery,Veery
Bandurrilla de las piedras,Ochetorhynchus andaecola,rocear1,Rock Earthcreeper
Martín pescador chico,Chloroceryle americana,grnkin,Green Kingfisher
Picaflor de Arica,Eulidia yarrellii,chiwoo1,Chilean Woodstar
Halcón de pecho naranja,Falco deiroleucus,orbfal1,Orange-breasted Falcon